ZIP_CODE;DAYS_SINCE_PURCHASE;PURCHASE_VISITS;TOTAL_NET_SALES;CC_CARD;AVE_AMOUNT_SPENT;AMSPEND;PSSPEND;CCSPEND;AXSPEND;TMONSPEND;OMONSPEND;SMONSPEND;PREVPD;GMP;PROMOS;DAYS;FREDAYS;MARKDOWN;CLASSES;COUPONS;STYLES;STORES;VALPHON;WEB;MAILED;RESPONDED;RESPONSERATE;HI;LTFREDAY;CLUSTYPE;PERCRET;RESP
ZIP_1450;61;2;158,98;1;79,49;0,0;109,98;49,0;0,0;89,99;0,0;89,99;0,0;0,53;15;685;342,5;0,28;5;1;6;3;1;0;7;0;0,0;0,2916;57,08;Cluster_6;0,0;0
ZIP_1450;153;1;489,93;0;489,93;0,0;0,0;489,93;0,0;0,0;0,0;489,93;0,0;0,6;15;468;468,0;0,0;4;0;7;1;0;0;6;1;0,1667;0,3652;234,0;Cluster_4;0,0;0
ZIP_1451;269;1;99,0;0;99,0;0,0;0,0;99,0;0,0;0,0;0,0;0,0;0,0;0,3;6;269;269,0;0,5;1;0;2;1;0;0;0;0;0,0;1,0;269,0;Cluster_1;0,0;0
ZIP_1453;342;1;140,39;1;140,39;0,0;122,39;18,0;0,0;0,0;0,0;0,0;0,0;0,61;16;342;342,0;0,14;3;0;4;2;1;0;5;0;0,0;0,4609;171,0;Cluster_4;0,0;0
ZIP_1503;108;8;1250,23;1;156,27;0,0;173,24;14,99;0,001062;0,0;0,0;102,23;170,24;0,49;27;586;73,25;0,21;12;2;30;5;1;0;9;3;0,3333;0,185;26,63;Cluster_6;8e-08;0
ZIP_1543;66;10;591,95;1;59,19;0,0;431,95;160,0;0,0;90,97;0,0;223,97;39,0;0,62;19;702;70,2;0,13;8;0;22;4;1;0;10;5;0,5;0,1977;22,64;Cluster_6;0,0;0
ZIP_1535;5;3;538,81;1;179,6;0,0;450,82;87,99;0,0;245,99;245,99;418,81;0,0;0,66;15;380;126,66;0,03;8;0;19;2;1;0;8;0;0,0;0,2505;20,0;Cluster_16;4e-08;0
ZIP_1570;76;1;255,46;1;255,46;0,0;249,46;6,0;0,0;255,46;0,0;255,46;0,0;0,54;8;76;76,0;0,2;5;0;6;2;1;0;3;0;0,0;0,5723;25,33;Cluster_18;0,0;0
ZIP_1532;38;4;543,24;1;135,81;0,0;391,25;151,99;0,0;322,75;0,0;322,75;170,99;0,59;22;522;130,5;0,23;11;0;24;2;1;0;10;2;0,2;0,1176;32,62;Cluster_4;1,2e-07;0
ZIP_1510;118;9;501,23;1;55,69;0,0;457,73;43,5;0,0;0,0;0,0;39,99;116,0;0,53;20;684;76,0;0,29;7;1;19;2;1;1;10;5;0,5;0,2363;12,66;Cluster_6;2,7e-07;0
ZIP_1566;101;6;577,94;0;96,32;0,0;532,96;44,98;0,0;0,0;0,0;577,94;0,0;0,6;16;518;86,33;0,05;6;0;21;2;1;0;9;2;0,2222;0,2012;37,0;Cluster_16;4e-08;0
ZIP_1545;80;4;405,98;0;101,49;0,0;0,0;366,0;3,998e-05;29,0;0,0;29,0;0,0;0,61;19;362;90,5;0,08;6;0;12;2;0;0;6;2;0,3333;0,3328;51,71;Cluster_8;0,0;0
ZIP_1540;101;6;459,48;1;76,58;0,0;48,0;411,48;0,0;0,0;0,0;333,48;0,0;0,63;15;687;114,5;0,1;7;1;16;2;1;0;8;3;0,375;0,1869;29,86;Cluster_16;1,2e-07;1
ZIP_1520;362;1;114,0;0;114,0;0,0;16,0;98,0;0,0;0,0;0,0;0,0;0,0;0,71;12;588;588,0;0,0;3;0;3;2;0;0;4;1;0,25;0,7494;84,0;Cluster_4;0,0;0
ZIP_1545;78;1;83,97;0;83,97;0,0;0,0;83,97;0,0;83,97;0,0;83,97;0,0;0,48;1;78;78,0;0,3;1;0;3;1;1;0;0;0;0,0;1,0;78,0;Cluster_23;0,0;0
ZIP_1588;38;9;870,08;1;96,67;0,0;784,59;85,49;0,0;73,0;0,0;620,12;0,0;0,57;9;265;29,44;0,08;12;0;28;2;1;0;2;0;0,0;0,2778;9,46;Cluster_18;0,0;1
ZIP_1545;68;5;244,87;0;48,97;0,0;41,88;202,99;0,0;28,88;0,0;28,88;0,0;0,59;23;563;112,6;0,12;5;0;6;4;1;0;10;2;0,2;0,7731;62,55;Cluster_8;0,0;0
ZIP_1588;98;6;273,98;1;45,66;0,0;231,92;42,06;0,0;0,0;0,0;49,99;0,0;0,58;9;639;106,5;0,19;8;2;15;3;1;0;1;0;0,0;0,2226;20,61;Cluster_22;1,5e-07;0
ZIP_1569;61;15;1350,36;1;90,02;0,0;15,24;994,69;0,00034043;215,61;0,0;626,99;57,0;0,4;25;693;46,2;0,29;12;3;57;5;1;0;10;5;0,5;0,288;19,25;Cluster_18;6e-08;0
ZIP_1571;329;1;96,0;0;96,0;0,0;0,0;96,0;0,0;0,0;0,0;0,0;96,0;0,43;10;660;660,0;0,2;2;0;5;1;1;0;4;1;0,25;0,9209;220,0;Cluster_29;0,0;0
ZIP_1527;44;6;786,9;1;131,15;0,0;0,0;786,9;0,0;19,97;0,0;279,93;0,0;0,56;28;663;110,5;0,18;14;2;29;3;1;0;10;0;0,0;0,1928;39,0;Cluster_23;0,0;0
ZIP_1520;320;5;408,93;0;81,78;0,0;393,93;15,0;0,0;0,0;0,0;0,0;189,97;0,54;18;690;138,0;0,09;8;0;21;3;1;0;10;2;0,2;0,2406;27,6;Cluster_6;8e-08;0
ZIP_1520;21;6;241,44;0;40,24;0,0;23,99;217,45;0,0;161,45;35,0;161,45;0,0;0,34;7;248;41,33;0,34;3;0;14;3;1;0;0;0;0,0;0,4395;19,07;Cluster_23;8e-08;0
ZIP_1570;141;1;214,17;1;214,17;0,0;11,69;202,48;0,0;0,0;0,0;214,17;0,0;0,62;6;271;271,0;0,1;2;1;8;2;1;0;0;0;0,0;0,5882;67,75;Cluster_22;0,0;0
ZIP_1532;364;1;117,99;0;117,99;0,0;10,0;107,99;0,0;0,0;0,0;0,0;0,0;0,55;16;364;364,0;0,07;4;0;4;2;1;0;4;0;0,0;0,3421;182,0;Cluster_1;0,0;0
ZIP_1523;61;11;1188,33;0;108,03;0,0;1160,34;27,99;0,0;0,0;0,0;356,43;278,92;0,6;17;500;45,45;0,06;16;0;33;3;1;0;9;5;0,5556;0,0688;17,85;Cluster_6;3,8e-07;0
ZIP_1527;145;2;170,48;1;85,24;0,0;0,0;170,48;0,0;0,0;0,0;52,98;0,0;0,31;18;474;237,0;0,4;4;0;4;1;1;0;9;1;0,1111;0,598;118,5;Cluster_18;0,0;0
ZIP_1541;128;2;282,45;0;141,22;0,0;15,0;267,45;0,0;0,0;0,0;49,98;232,47;0,48;19;677;338,5;0,21;6;0;7;3;1;0;6;1;0,1667;0,2959;61,54;Cluster_6;0,0;0
ZIP_1520;131;6;512,97;0;85,49;492,98;0,0;19,99;0,0;0,0;0,0;163,99;198,0;0,57;18;529;88,16;0,07;9;0;14;2;0;0;7;2;0,2857;0,4733;44,08;Cluster_23;0,0;0
ZIP_1522;169;5;833,96;1;166,79;0,0;815,35;18,61;0,0;0,0;0,0;269,0;127,99;0,58;21;693;138,6;0,18;10;3;26;2;1;0;8;2;0,25;0,2272;36,47;Cluster_6;0,0;1
ZIP_1520;145;1;234,99;1;234,99;0,0;0,0;234,99;0,0;0,0;0,0;234,99;0,0;0,63;23;701;701,0;0,0;6;0;6;1;1;0;9;1;0,1111;0,3235;33,38;Cluster_10;0,0;1
ZIP_1564;56;3;243,43;0;81,14;0,0;143,46;99,97;0,0;68,95;0,0;185,94;0,0;0,43;6;363;121,0;0,18;6;0;13;2;1;0;0;0;0,0;0,3735;45,37;Cluster_6;0,0;0
ZIP_1588;40;3;459,98;0;153,32;0,0;0,0;459,98;0,0;20,99;0,0;20,99;0,0;0,65;17;543;181,0;0,09;7;0;9;2;1;0;7;1;0,1429;0,1744;90,5;Cluster_18;0,0;0
ZIP_1545;322;1;232,89;0;232,89;0,0;49,98;182,91;0,0;0,0;0,0;0,0;232,89;0,54;20;322;322,0;0,0;3;0;5;2;1;0;5;0;0,0;0,5757;53,66;Cluster_4;0,0;0
ZIP_95354;92;4;468,87;0;117,21;0,0;176,49;292,38;0,0;0,0;0,0;76,98;133,65;0,48;13;314;78,5;0,23;5;1;7;3;1;0;4;1;0,25;0,3872;62,8;Cluster_17;0,0;0
ZIP_3063;274;3;96,23;0;32,07;6,5;0,0;89,73;0,0;0,0;0,0;0,0;0,0;0,44;7;344;114,66;0,18;9;0;10;3;0;0;0;0;0,0;0,0965;57,33;Cluster_3;4,6000000000000004e-07;0
ZIP_1612;129;10;1163,79;1;116,37;0,0;631,94;531,85;0,0;0,0;0,0;574,81;0,0;0,62;22;607;60,7;0,15;17;4;36;3;1;1;9;3;0,3333;0,1923;20,93;Cluster_6;6e-08;1
ZIP_1609;73;5;257,09;0;51,41;0,0;7,5;249,59;0,0;201,6;0,0;201,6;0,0;0,59;1;269;53,8;0,19;6;0;11;2;1;0;0;0;0,0;0,2243;44,83;Cluster_32;3,400000000000001e-07;0
ZIP_1606;64;6;452,46;1;75,41;0,0;295,46;157,0;0,0;41,99;0,0;187,98;22,49;0,58;21;691;115,16;0,19;10;3;15;2;1;0;9;3;0,3333;0,1452;24,67;Cluster_22;0,0;0
ZIP_1606;169;1;182,5;0;182,5;0,0;0,0;182,5;0,0;0,0;0,0;182,5;0,0;0,59;10;610;610,0;0,2;4;0;8;1;1;0;3;0;0,0;0,3985;101,66;Cluster_10;0,0;0
ZIP_1606;89;5;250,1;1;50,02;0,0;150,5;99,6;0,0;62,95;0,0;132,16;0,0;0,23;8;236;47,2;0,27;9;1;17;2;1;0;2;1;0,5;0,192;11,23;Cluster_20;0,0;0
ZIP_1609;47;3;300,94;1;100,31;0,0;0,0;300,94;0,0;83,95;0,0;201,94;0,0;0,42;22;546;182,0;0,33;5;0;11;2;1;0;10;1;0,1;0,3225;49,63;Cluster_1;0,0;0
ZIP_1606;7;12;1562,3;1;130,19;0,0;7,44;1554,86;0,0;255,09;101,12;751,84;212,98;0,55;28;689;57,41;0,27;15;5;45;3;1;1;10;6;0,6;0,1722;18,13;Cluster_10;2e-08;0
ZIP_1602;78;25;2098,7;0;83,94;5,0;1659,84;433,86;0,0;164,95;0,0;1452,66;12,74;0,49;20;685;27,4;0,22;20;1;67;5;1;0;11;8;0,7273;0,14;5,31;Cluster_1;5e-08;0
ZIP_1606;16;17;522,0;1;30,7;479,41;0,0;42,59;0,0;29,0;29,0;190,45;202,48;0,33;18;648;38,11;0,29;18;1;33;2;1;0;8;4;0,5;0,0603;7,8;Cluster_10;6,7e-07;1
ZIP_1607;110;2;280,98;0;140,49;39,99;0,0;240,99;0,0;0,0;0,0;240,99;0,0;0,63;4;266;133,0;0,06;4;0;5;2;1;0;0;0;0,0;0,2743;66,5;Cluster_15;0,0;0
ZIP_1602;33;2;282,37;1;141,18;0,0;224,13;58,24;0,0;282,37;0,0;282,37;0,0;0,49;1;54;27,0;0,3;4;1;6;2;1;0;0;0;0,0;0,6598;3,17;Cluster_18;0,0;1
ZIP_1602;26;6;352,89;0;58,81;0,0;343,4;9,49;0,0;142,42;29,98;302,91;0,0;0,42;8;581;96,83;0,34;9;2;18;2;1;0;2;2;1,0;0,1546;32,27;Cluster_8;0,0;0
ZIP_1609;271;1;116,75;0;116,75;0,0;0,0;116,75;0,0;0,0;0,0;0,0;0,0;0,62;13;608;608,0;0,14;2;0;3;1;0;0;7;0;0,0;0,7554;101,33;Cluster_34;0,0;0
ZIP_1605;43;2;83,97;0;41,98;0,0;0,0;83,97;0,0;41,99;0,0;83,97;0,0;0,27;8;482;241,0;0,35;2;0;3;1;1;0;0;0;0,0;0,5;160,66;Cluster_23;0,0;0
ZIP_1603;278;1;79,98;1;79,98;0,0;0,0;79,98;0,0;0,0;0,0;0,0;0,0;0,59;4;697;697,0;0,14;1;0;2;1;1;0;0;0;0,0;1,0;116,16;Cluster_15;0,0;0
ZIP_1585;140;2;127,0;0;63,5;59,0;0,0;68,0;0,0;0,0;0,0;59,0;0,0;0,63;11;587;293,5;0,18;3;0;4;2;1;0;6;1;0,1667;0,3622;117,4;Cluster_16;0,0;0
ZIP_1605;119;1;137,0;0;137,0;0,0;0,0;137,0;0,0;0,0;0,0;137,0;0,0;0,68;7;119;119,0;0,0;2;0;3;1;1;0;0;0;0,0;0,5927;119,0;Cluster_39;0,0;0
ZIP_1612;173;2;292,69;1;146,34;0,0;184,76;107,93;0,0;0,0;0,0;48,74;243,95;0,5;18;689;344,5;0,12;6;1;9;2;1;0;9;2;0,2222;0,2855;38,27;Cluster_6;0,0;1
ZIP_1606;49;7;189,08;0;27,01;0,0;46,49;142,59;0,0;59,47;0,0;114,6;0,0;0,36;10;369;52,71;0,34;10;0;16;2;1;0;1;0;0,0;0,1474;16,04;Cluster_23;2,0000000000000002e-07;1
ZIP_1612;194;1;240,0;0;240,0;0,0;157,0;83,0;0,0;0,0;0,0;0,0;0,0;0,67;7;553;553,0;0,07;4;0;6;2;0;1;1;0;0,0;0,2585;69,12;Cluster_6;0,0;0
ZIP_1603;31;10;888,87;0;88,88;0,0;836,89;51,98;0,0;266,95;0,0;412,95;0,0;0,44;4;264;26,4;0,25;15;0;33;2;1;0;0;0;0,0;0,1692;16,5;Cluster_32;0,0;0
ZIP_1757;39;5;674,42;1;134,88;0,0;657,41;17,01;0,0;28,99;0,0;579,44;74,99;0,54;17;676;135,2;0,25;10;3;22;2;1;0;5;1;0,2;0,1803;52,0;Cluster_10;0,0;0
ZIP_1721;75;5;760,48;1;152,09;0,0;29,0;373,25;0,00035823;78,96;0,0;760,48;0,0;0,45;23;180;36,0;0,16;11;1;26;4;1;0;9;3;0,3333;0,1667;13,84;Cluster_4;0,0;1
ZIP_1748;138;3;507,98;1;169,32;0,0;88,0;419,98;0,0;0,0;0,0;244,99;0,0;0,61;19;595;198,33;0,12;6;0;17;3;1;0;9;2;0,2222;0,4877;37,18;Cluster_1;0,0;0
ZIP_1720;8;31;3450,58;1;111,3;3106,53;59,5;144,6;0,00013995;529,99;306,0;1023,4;88,8;0,48;27;558;18,0;0,33;27;4;113;5;1;0;9;6;0,6667;0,1097;9,14;Cluster_8;1,7000000000000001e-07;0
ZIP_1740;267;1;184,47;0;184,47;0,0;0,0;184,47;0,0;0,0;0,0;0,0;0,0;0,3;10;267;267,0;0,38;4;0;5;1;1;0;2;0;0,0;0,349;267,0;Cluster_4;0,0;0
ZIP_1757;63;3;422,73;1;140,91;0,0;354,73;68,0;0,0;280,73;0,0;280,73;0,0;0,41;16;634;211,33;0,32;6;0;15;4;1;0;7;1;0,1429;0,2577;48,76;Cluster_18;0,0;0
ZIP_1740;73;1;145,67;1;145,67;0,0;0,0;145,67;0,0;145,67;0,0;145,67;0,0;0,3;1;73;73,0;0,4;4;1;13;1;1;0;0;0;0,0;0,373;73,0;Cluster_4;0,0;0
ZIP_1741;14;68;4513,58;1;66,37;421,08;499,38;3593,12;0,0;572,57;302,25;2400,05;416,42;0,29;30;686;10,08;0,48;28;6;248;9;1;0;11;8;0,7273;0,0511;4,6;Cluster_1;6,4e-07;1
ZIP_1748;153;1;431,35;0;431,35;0,0;289,91;141,44;0,0;0,0;0,0;431,35;0,0;0,48;13;478;478,0;0,0;9;0;15;2;1;0;7;0;0,0;0,2186;119,5;Cluster_1;0,0;0
ZIP_1720;5;6;515,21;0;85,86;0,0;273,22;241,99;0,0;121,99;108,0;121,99;0,0;0,61;15;289;48,16;0,08;9;0;15;3;1;0;4;1;0,25;0,2836;24,08;Cluster_14;7e-08;0
ZIP_1720;202;1;88,0;0;88,0;0,0;0,0;88,0;0,0;0,0;0,0;0,0;0,0;0,69;10;202;202,0;0,0;1;0;1;1;0;0;2;0;0,0;1,0;202,0;Cluster_4;0,0;0
ZIP_1867;80;6;1462,95;1;243,82;0,0;1419,94;43,01;0,0;98,97;0,0;423,97;0,0;0,65;23;693;115,5;0,13;16;3;40;3;1;0;10;4;0,4;0,1119;34,65;Cluster_3;7e-08;1
ZIP_1810;235;5;315,49;0;63,09;0,0;157,49;158,0;0,0;0,0;0,0;0,0;0,0;0,6;17;433;86,6;0,27;5;0;6;3;0;0;4;0;0,0;0,3494;36,08;Cluster_4;2,9e-07;0
ZIP_1864;35;9;971,91;0;107,99;0,0;919,74;52,17;0,0;0,0;0,0;52,17;78,99;0,58;22;432;48,0;0,17;19;0;54;2;1;1;9;4;0,4444;0,0447;21,6;Cluster_4;7e-07;0
ZIP_1840;94;2;246,21;0;123,1;0,0;0,0;246,21;0,0;0,0;0,0;17,02;0,0;0,48;14;283;141,5;0,11;8;0;14;1;1;0;4;1;0,25;0,124;141,5;Cluster_45;2,8e-07;0
ZIP_1860;39;17;1533,13;1;90,18;0,0;1495,13;38,0;0,0;516,73;0,0;598,72;115,6;0,63;20;693;40,76;0,13;19;3;49;6;1;0;9;5;0,5556;0,1076;10,04;Cluster_10;1,6e-07;1
ZIP_1801;246;1;104,48;0;104,48;0,0;0,0;104,48;0,0;0,0;0,0;0,0;0,0;0,56;7;246;246,0;0,15;2;0;3;1;0;0;1;0;0,0;0,8272;246,0;Cluster_12;0,0;0
ZIP_1801;26;2;144,98;0;72,49;75,0;0,0;69,98;0,0;75,0;75,0;75,0;0,0;0,3;6;449;224,5;0,34;5;0;5;2;1;0;0;0;0,0;0,2437;64,14;Cluster_12;0,0;1
ZIP_1876;266;1;156,49;0;156,49;0,0;0,0;156,49;0,0;0,0;0,0;0,0;0,0;0,48;12;701;701,0;0,38;1;0;5;1;1;0;2;0;0,0;1,0;350,5;Cluster_4;0,0;0
ZIP_1832;91;3;112,97;0;37,65;0,0;0,0;112,97;0,0;0,0;0,0;10,49;0,0;0,53;6;493;164,33;0,13;4;0;4;1;0;0;4;0;0,0;0,6552;98,6;Cluster_20;0,0;0
ZIP_1821;24;9;1339,31;1;148,81;0,0;1212,36;43,99;8,295999999999999e-05;295,81;0,0;1240,32;0,0;0,59;12;673;74,77;0,16;10;3;52;4;1;0;7;4;0,5714;0,1495;29,26;Cluster_15;1,7000000000000001e-07;0
ZIP_1803;1;4;385,52;1;96,38;0,0;358,22;27,3;0,0;300,98;93,98;328,28;0,0;0,64;18;692;173,0;0,1;7;1;9;2;1;0;9;0;0,0;0,3321;76,88;Cluster_10;0,0;0
ZIP_1810;79;2;314,11;1;157,05;0,0;0,0;314,11;0,0;114,32;0,0;314,11;0,0;0,47;7;113;56,5;0,31;7;2;16;2;1;0;1;0;0,0;0,1739;6,64;Cluster_1;0,0;1
ZIP_1835;159;2;138,98;0;69,49;0,0;0,0;138,98;0,0;0,0;0,0;59,0;0,0;0,65;4;272;136,0;0,0;3;0;3;1;1;0;1;0;0,0;0,8417;136,0;Cluster_3;0,0;0
ZIP_1826;10;8;2230,93;1;278,86;0,0;1875,98;210,99;0,00014396;357,95;213,99;1155,88;82,48;0,56;23;697;87,12;0,18;17;5;54;3;1;0;10;6;0,6;0,1647;22,48;Cluster_18;0,0;0
ZIP_1860;26;7;116,47;0;16,63;0,0;79,97;36,5;0,0;20,0;20,0;34,99;0,0;0,37;3;362;51,71;0,27;7;0;9;4;0;0;0;0;0,0;0,1676;36,2;Cluster_10;5,699999999999999e-07;0
ZIP_1845;83;3;646,44;1;215,48;0,0;0,0;646,44;0,0;26,48;0,0;26,48;0,0;0,62;10;635;211,66;0,08;10;0;17;1;1;0;2;1;0,5;0,1781;30,23;Cluster_1;3,3e-07;0
ZIP_1844;260;4;92,73;0;23,18;0,0;32,0;60,73;0,0;0,0;0,0;0,0;0,0;0,36;6;362;90,5;0,29;5;0;7;2;1;0;0;0;0,0;0,2371;90,5;Cluster_10;4,3e-07;0
ZIP_1801;19;2;341,94;0;170,97;0,0;23,97;317,97;0,0;31,96;31,96;341,94;0,0;0,64;10;136;68,0;0,14;6;0;14;4;1;0;1;1;1,0;0,3032;22,66;Cluster_10;0,0;0
ZIP_1844;261;3;456,93;1;152,31;0,0;0,0;456,93;0,0;0,0;0,0;0,0;215,24;0,47;24;642;214,0;0,3;5;1;14;1;1;0;8;1;0,125;0,2586;32,1;Cluster_4;0,0;1
ZIP_1844;108;3;78,0;0;26,0;0,0;63,0;15,0;0,0;0,0;0,0;78,0;0,0;0,62;2;581;193,66;0,07;2;0;5;2;0;0;0;0;0,0;0,5266;145,25;Cluster_10;0,0;0
ZIP_1821;125;2;139,48;0;69,74;0,0;0,0;139,48;0,0;0,0;0,0;94,99;0,0;0,59;8;281;140,5;0,14;5;0;5;1;0;0;0;0;0,0;0,4829;140,5;Cluster_5;0,0;0
ZIP_1821;1;18;4208,64;1;233,81;2089,8;0,0;2118,84;0,0;1927,85;468,38;2984,33;0,0;0,61;25;701;38,94;0,15;16;8;78;2;1;0;9;4;0,4444;0,2225;17,97;Cluster_11;8e-08;0
ZIP_1810;152;3;319,99;1;106,66;0,0;0,0;319,99;0,0;0,0;0,0;68,99;0,0;0,67;17;467;155,66;0,0;5;0;6;1;1;0;9;2;0,2222;0,3517;77,83;Cluster_4;0,0;0
ZIP_1860;113;5;168,99;0;33,79;0,0;0,0;168,99;0,0;0,0;0,0;168,99;0,0;0,6;8;581;116,2;0,0;3;0;3;1;1;1;0;0;0,0;0,1115;29,05;Cluster_25;1,29;0
ZIP_1810;129;1;114,98;0;114,98;0,0;0,0;114,98;0,0;0,0;0,0;114,98;0,0;0,61;9;129;129,0;0,0;2;0;2;1;1;0;1;0;0,0;0,5765;64,5;Cluster_1;0,0;0
ZIP_1887;124;3;480,48;0;160,16;32,7;411,45;36,33;0,0;0,0;0,0;480,48;0,0;0,63;18;391;130,33;0,18;6;2;12;4;1;0;6;2;0,3333;0,3194;48,87;Cluster_4;0,0;0
ZIP_1841;59;1;89,97;0;89,97;0,0;0,0;89,97;0,0;89,97;0,0;89,97;0,0;0,32;0;59;59,0;0,4;2;0;3;1;1;0;0;0;0,0;0,6089;29,5;Cluster_41;0,0;1
ZIP_1803;270;2;111,15;0;55,57;86,52;0,0;24,63;0,0;0,0;0,0;0,0;0,0;0,25;8;287;143,5;0,58;2;0;6;2;1;0;1;0;0,0;0,8362;95,66;Cluster_8;0,0;0
ZIP_1845;39;14;965,72;0;68,98;0,0;884,04;81,68;0,0;0,0;0,0;369,94;454,99;0,52;14;656;46,85;0,28;15;0;39;9;0;0;6;4;0,6667;0,0718;18,74;Cluster_8;6,5e-07;0
ZIP_1876;134;4;207,47;0;51,86;0,0;107,47;100,0;0,0;0,0;0,0;98,98;0,0;0,5;9;269;67,25;0,25;2;0;10;2;0;0;1;0;0,0;1,0;53,8;Cluster_3;0,0;0
ZIP_1879;24;4;241,92;0;60,48;0,0;66,49;175,43;0,0;112,97;70,0;241,92;0,0;0,3;5;98;24,5;0,38;8;0;16;2;1;0;0;0;0,0;0,1719;14,0;Cluster_4;2,8e-07;0
ZIP_1887;49;2;678,0;0;339,0;0,0;666,0;12,0;0,0;678,0;0,0;678,0;0,0;0,68;0;58;29,0;0,0;6;0;13;2;1;0;0;0;0,0;0,2249;14,5;Cluster_5;0,0;0
ZIP_1810;11;5;227,85;1;45,57;0,0;154,0;73,85;0,0;99,85;26,0;227,85;0,0;0,57;12;696;139,2;0,23;8;0;15;2;1;0;3;2;0,6667;0,1599;33,14;Cluster_1;1,2e-07;0
ZIP_1832;173;6;2093,58;0;348,93;0,0;319,23;1774,35;0,0;0,0;0,0;221,23;482,19;0,56;22;530;88,33;0,22;16;2;51;4;1;0;11;5;0,4545;0,1814;26,5;Cluster_8;0,0;0
ZIP_1844;108;1;197,0;0;197,0;0,0;0,0;197,0;0,0;0,0;0,0;197,0;0,0;0,69;4;108;108,0;0,0;3;0;3;1;1;0;0;0;0,0;1,0246;108,0;Cluster_11;0,0;0
